course,title,group,units,classification,description,prerequisites,corequisites,recommended,repeatability,grading,instructional_methods,typically_offered,credit_restrictions,breadth,learning_outcomes,last_proposal,proposal_count,findings
MUS 324,History of American Music,Music: Musicology and Ethnomusicology,3,blank,"Introduction to the musical styles, composers, and institutions that have shaped American music through history. Special emphasis will be given to the contributions of Black Americans to the foundation and development of American music.",,,,,A-F or CR/NC (student choice).,Hybrid or Online-Asynchronous.,Fall & Spring,,Overlay - Diversity,"Describe the histories, experiences or views of one or more cultural groups. | Analyze the overlap or intersection of social identities of oneself and/or other cultural groups (e.g., culture, gender, class, sexuality, religion, disability, immigration status, and/or age). | Examine the impact of their own identity on their experiences with and/or views of other cultural groups.",2020-10-06,1,no teaching component or classification on record
MUS 326,Topics in Global Music,Music: Musicology and Ethnomusicology,3,C02 3u,"A rotating-topics course introducing students to the diversity of global musical traditions. Emphasis is placed on listening, analysis, and discussion of music in cultural context. Topics vary by semester and may include Africa, the Americas, Asia, or the diaspora.",,,,Repeatable for credit up to 9 units.,A-F grading only.,A rotating-topics course introducing students to the diversity of global musical traditions.,Fall & Spring,,,,2025-09-15,1,no learning outcomes published; repeatability uses non-standard phrasing
MUS 331,Foundations of Music Education,Music: Music Education,3,blank,"Overview of music education for prospective music educators, with a focus on K-12 music education. Topics include philosophy of music education, K-12 music pedagogy, and the history, economics, and policy of music education. Field trips may be required.",,,,,A-F grading only.,On-ground.,Variable Intermittently,,,"Reflect, analyze, and discuss the student’s own music education experiences, | Demonstrate knowledge of the primary forms of both traditional and non-traditional music education in the contemporary United States, | Observe and reflect on music education in a variety of K-12 school settings, | Demonstrate understanding of major theories and approaches to music teaching and learning, including knowledge of major events in the history of American music education, | Demonstrate knowledge of the California State and National Standards in music education, | Demonstrate knowledge of the roles and issues of cultural diversity and special learners in today’s schools.",2016-02-18,1,"last revised 2016-02-18, still on the 2016 conversion form; no teaching component or classification on record"
MUS 335,Technology for Music Educators,Music: Music Education,3,C05 1u + C13,"Instruction in uses of audio software, and software for desktop, interactive, and music publishing to aid in the development of music education curricula, programs, and lessons. Seminar Units: 2; Activity Units: 1.",,,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"Mastery of live sound knowledge as it applies to k-12 environments, including microphones, PA setup and; usage, and logistically planning for amplifying ensembles. | Ability to edit and master digital audio using a DAW. | Advocate for music technology needs in the classroom through the drafting of grant proposals. | Utilize music notation software with rehearsal software in order to create lessons and lesson plans otherwise not possible. | Create learning modules in teams using video and audio editing software.",2016-04-27,1,"last revised 2016-04-27, still on the 2016 conversion form"
MUS 341,Basic Conducting,Music: Music Education,3,C05 2u,"Basic techniques of conducting including simple, compound and asymmetrical meters, expression and interpretation through observation and laboratory experience.","Junior, senior or post-baccalaureate standing.",,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"Develop the skills needed by conductors with an emphasis on physical gesture, score study, and expression. | Develop inner hearing and interpretation skills. | Have knowledge of noteworthy conducting scholarship and materials. | Demonstrate understanding via in-class conducting presentations Page: 1 <- Back 10 … 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 … Forward 10 -> 28 Contract All Courses | Print this Page",2016-04-26,1,"last revised 2016-04-26, still on the 2016 conversion form; units publish as 3, record holds 2; units publish as 3, the music education certificate roadmap gives 3, record holds 2"
MUS 351A,Choir: Voices of Hope,Music: Major Performing Ensembles,1,C21 1u,Major performance ensemble in the tradition of a college choir. No audition required.,,,,Repeatable for credit up to 8 units.,A-F or CR/NC (student choice),On-ground,Fall & Spring,,,"Sing, alone and with others, a varied repertoire of music (Repertoire and Performance). | Read and notate music (Musicianship and Composition). | Analyze and describe music (Critical Analysis). | Evaluate music and music performances (Critical Analysis). | Understand relationships between music, the other arts, and disciplines outside the arts (Culture). | Understand music in relation to history and culture (Culture).",2025-09-14,2,repeatability uses non-standard phrasing
MUS 351B,Choir: East Bay Singers,Music: Major Performing Ensembles,1,C21 1u,Major performance ensemble in the tradition of a collegiate choir. Audition required.,,,,May be repeated for credit for a maximum of 8 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,"Students will be able to sing, alone and with others, a varied repertoire of music (Repertoire and Performance). | Students will be able to read and notate music (Musicianship and Composition). | Students will be able to analyze and describe music (Critical Analysis). | Students will be able to evaluate music and music performances (Critical Analysis). | Students will be able to understand relationships between music, the other arts, and disciplines outside the arts (Culture). | Students will be able to understand music in relation to history and culture (Culture).",2024-09-16,3,
MUS 353,Band: Wind Ensemble,Music: Major Performing Ensembles,1,C21 1u,Major performance ensemble in the tradition of band and wind ensemble. Music activities are open to qualified students by audition. Music majors are required to enroll in one major performance group each semester of study. Field trips may be required.,Department consent.,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Develop and improve playing skills on my instrument | Develop and improve rehearsal skills for large ensembles and with small groups of musicians | Gain a better understanding of music, culture and art as they relate to different contexts | Develop knowledge of core wind repertoire and composers in the wind medium | Enrich my critical thinking and analysis skills | Present professional-level performances that are musically and emotionally satisfying",2024-09-16,3,
MUS 355,East Bay Jazz Orchestra,Music: Major Performing Ensembles,1,C21 1u,Major performance ensemble in the tradition of jazz big band. Field trip(s) may be required. Audition required.,Department consent.,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Develop skills necessary to perform in large jazz ensembles and big bands. | Focus on ensemble and sectional blend, intonation, rhythmic cohesiveness and stylistic authenticity. | Perform major venues and concerts. | Learn Protocols for student ensemble performances as well as program building in music education settings.",2022-09-27,2,
MUS 360,Rock Band,Music: Chamber Ensembles,1,C10 1u,"Chamber performing ensemble that includes the study and performance of music for Rock Band Ensemble. Students delve into historical periods, examine songwriters, and perform as an ensemble to develop skills that will enable them to become better ensemble musicians.",,,,Repeatable for credit up to 8 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,"Recognize the historical and cultural influences that contributed to rock music, including the contributions of the African-American culture. | Recognize different genres of rock music grouped by decade and identify key characteristics. | Compose short examples of different rock music genres. | Practice and perform rock music in the style of different rock music genres. | Demonstrate an understanding of the technical aspects of rock music performance as they relate to sound amplification and microphone techniques.",2023-02-14,1,repeatability uses non-standard phrasing
MUS 360A,Mariachi Ensemble,Music: Chamber Ensembles,1,C10 1u,"Chamber ensemble focusing on traditional and contemporary mariachi. Students study history, cultural context, composers, and song forms while rehearsing and performing as an ensemble. Emphasis is placed on developing stylistic, technical, and collaborative skills essential for growth as ensemble musicians.",,,Students should have a basic knowledge of how to play a mariachi,Repeatable for credit up to 8 units.,A-F or CR/NC (student choice),On-ground.,Fall & Spring,,,"Develop technical and stylistic proficiency on a mariachi instrument or voice. | Perform in an ensemble with accurate intonation, rhythm, and phrasing. | Demonstrate knowledge of standard mariachi repertoire and song forms (son, huapango, ranchera, bolero, jarabe). | Understand cultural and historical significance of mariachi as an art form. | Build collaborative and professional ensemble skills.",2025-09-14,1,grading A-F or CR/NC (student choice) where the chamber ensemble norm is A-F or CR/NC (student choice); repeatability uses non-standard phrasing
MUS 361,Chamber Ensemble,Music: Chamber Ensembles,1,C10 1u,Ensemble focused on performing repertoire for small combinations of instruments. Chamber ensembles are open to all qualified students (determined by audition). Field trips may be required.,,,,May be repeated for credit for a maximum of 6 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Perform music for small ensembles. | Become familiar, through performance, with excellent compositions for chamber ensemble combinations. | Perform independently and with excellent musicianship within a larger group of musicians. | Perform music by a variety of diverse composers.",2023-02-14,2,grading A-F grading only where the chamber ensemble norm is A-F or CR/NC (student choice); repeat cap of 6 units where the chamber ensemble norm is 8
MUS 363,Percussion Ensemble,Music: Chamber Ensembles,1,C10 1u,Ensemble focused on performing repertoire for small combinations of percussion instruments. Field trips may be required. Audition required.,,,,May be repeated for credit for a maximum of 4 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Perform music for small ensembles composed primarily of percussion instruments. | Become familiar, through performance, with excellent compositions for chamber ensemble combinations. | Perform independently and with excellent musicianship within a larger group of musicians. | Perform music by a variety of diverse composers",2016-05-12,1,"grading A-F grading only where the chamber ensemble norm is A-F or CR/NC (student choice); last revised 2016-05-12, still on the 2016 conversion form; repeat cap of 4 units where the chamber ensemble norm is 8"
MUS 365,Chamber Orchestra,Music: Chamber Ensembles,1,C10 1u,"Chamber orchestra is open to music majors and non-majors and welcomes violins, violas, cellos, and basses to learn and play different styles of music, including classical, movie, video game, pop and rock. Minimum playing proficiency of high school level required.",,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Perform music written for chamber ensembles of orchestral instruments. | Become familiar, through performance, with excellent compositions for chamber orchestra combinations. | Perform independently and with excellent musicianship within a larger group of musicians. | Perform a wide selection of music by a variety of diverse composers.",2023-09-15,3,grading A-F grading only where the chamber ensemble norm is A-F or CR/NC (student choice)
MUS 366,Electronic Music Ensemble,Music: Chamber Ensembles,1,C10 1u,"The Electronic Music Ensemble (EME) is comprised of diverse undergraduate and graduate students who expand the boundaries of traditional composition and performance through explorations with analog and digital technologies, including everyday objects, music instruments, live electronics, fixed media, and performance- installation.",,,,Repeatable for credit up to 8 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,Show basic understanding of audio software | Produce original music for a computer music ensemble | Develop expressive computer music performance in an ensemble setting | Synthesize all objectives into concert performances,2023-09-15,2,"description runs to 41 words, over the 40-word limit; repeatability uses non-standard phrasing"
MUS 367,Piano Ensemble,Music: Chamber Ensembles,1,C10 1u,Repertoire for small and large combinations of keyboard instruments with special attention paid towards works for piano four-hands and two pianos. Audition required.,,,,May be repeated for credit for a maximum of 4 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,"Listen critically to one’s own playing and the ensemble as a whole. | Develop ensemble cohesion and balance. | Develop awareness to musical style and performance practice. | Improve music-learning process and rehearsal techniques. | Improve tone production, technical facility, and physical awareness. | Develop professional demeanor and communication skills.",2016-05-12,1,"last revised 2016-05-12, still on the 2016 conversion form; repeat cap of 4 units where the chamber ensemble norm is 8"
MUS 368,Jazz Combo,Music: Chamber Ensembles,1,C10 1u,Jazz ensemble focusing on the composition and performance of student works for jazz ensemble. Field trips may be required. Audition required.,,,,May be repeated for credit for a maximum of 6 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Students will be able to perform alone and with others, a varied repertoire of jazz and world music. | Students will be able to read and notate music. | Students will be able to listen to, analyze, and describe music. | Students will be able to evaluate music and music performances. | Students will be able to understand relationships between music, the other arts, and disciplines outside the arts. | Students will be able to understand music in relation to history and culture.",2023-02-14,1,grading A-F grading only where the chamber ensemble norm is A-F or CR/NC (student choice); repeat cap of 6 units where the chamber ensemble norm is 8
MUS 369A,Vocal Repertory Ensemble,Music: Chamber Ensembles,1,C10 1u,Chamber ensemble focusing on repertoire for solo voice and small and large combinations of voices with special attention paid to Art Song and peer review and collaborative assessment of performance practice. Field trip(s) may be required. Audition required.,,,,May be repeated for credit for a maximum of 4 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,"Sing, alone and with others, a varied repertoire of music. | Read and notate music. | Listen to, analyze, and describe. | Evaluate music and music performances. | Understand relationships between music, the other arts, and disciplines outside the arts. | Understand music in relation to history and culture. | Perform vocal music in a recital and a stage setting.",2016-05-19,1,"last revised 2016-05-19, still on the 2016 conversion form; repeat cap of 4 units where the chamber ensemble norm is 8"
MUS 369B,Chamber Singers,Music: Chamber Ensembles,1,C10 1u,"Small vocal ensemble focusing on repertoire for chamber choir, mixed voices. Field trip(s) may be required. Audition required.",,,,May be repeated for credit for a maximum of 4 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,"Sing, alone and with others, a varied repertoire of music. | Read and notate music. | Listen to, analyze, and describe music written for small vocal ensemble. | Evaluate music and music performances. | Understand relationships between music, the other arts, and disciplines outside the arts. | Understand music in relation to history and culture.",2016-05-19,1,"last revised 2016-05-19, still on the 2016 conversion form; repeat cap of 4 units where the chamber ensemble norm is 8"
MUS 369C,Jazz Singers,Music: Chamber Ensembles,1,C10 1u,"Small vocal ensemble focusing on repertoire for chamber choir, mixed voices, that is drawn from jazz, pop, and world traditions. Auditions required.",,,,May be repeated for credit for a maximum of 4 units.,A-F or CR/NC (student choice).,On-ground.,,,,"Sing, alone and with others, a varied repertoire of music from the jazz and popular traditions. | Improvise in the jazz tradition. | Read and notate music. | Listen to, analyze, and describe music in the jazz tradition. | Evaluate music and music performances. | Understand relationships between music, the other arts, and disciplines outside the arts. | Understand music in relation to history and culture.",2023-02-15,2,repeat cap of 4 units where the chamber ensemble norm is 8
MUS 369D,A Cappella Ensemble,Music: Chamber Ensembles,1,C10 1u,Small vocal ensemble focusing on repertoire for a cappella ensemble. Field trip(s) may be required. Audition required.,,,,May be repeated for a maximum of 8 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,"Students will be able to sing, alone and with others, a varied repertoire of music (Repertoire and Performance). | Students will be able to read and notate music (Musicianship and Composition). | Students will be able to analyze and describe music (Critical Analysis). | Students will be able to evaluate music and music performances (Critical Analysis). | Students will be able to understand relationships between music, the other arts, and disciplines outside the arts (Culture). | Students will be able to understand music in relation to history and culture (Culture).",2023-02-14,1,
MUS 380,Recital Class,Music: Performance,1,C05 1u,"This class is designed to guide students through every aspect of the preparation for their degree recitals. Topics include creating the program, strategizing personal practice, addressing the logistics of performing a recital, musician wellness and the mental aspects of performance.",Minimum of one course from the MUS 261-269 series.,Minimum of one course from the MUS 361-370 series.,,,A-F grading only.,On-ground.,Fall ONLY,,,"Develop a well-balanced and inclusive program with the appropriate format; | Develop long- and short-term practice strategies; | Explore musician wellness, mindfulness, and techniques to deal with performance anxiety; | Practice stage etiquette, audience interaction, and critique performances of peers.",2022-02-01,2,"range MUS 261-269 spans empty numbers 267, 268, 269; range MUS 361-370 spans empty numbers 362, 364, 370"
MUS 381,Essentials of Music Technology,Music: Composition,3,blank,"An introduction to the fundamental concepts of music technology, including acoustics and the elements of sound, audio recording, sample editing and overall sound mixing. The course will also briefly overview advanced topics in the field, such as DSP and synthesis.",,,,,A-F or CR/NC (student choice).,On-ground.,,,,"Discuss and evaluate the place of music technology in the music industry | Identify and discuss the fundamental concepts of acoustics and digital audio | Identify and explain the basic elements of MIDI | Use basic recording and sound reinforcement equipment for musical projects | Use music software for digital audio, synthesis, sequencing, and music notation",2020-10-14,1,no teaching component or classification on record
MUS 410,20th and 21st C Styles and Techniques,Music: Theory and Musicianship,3,C02 3u,Intensive course that introduces students to the inner workings of European and American art music of the 20th and 21st centuries.,,,,,A-F or CR/NC (student choice).,On-ground.,Spring Alternate Years,,,"Demonstrate understanding of the different genres and styles within 20th and 21st art music. | Analyze and evaluate works of music in various forms in their technical, aesthetic, and historical contexts. | Apply the knowledge learned in earlier theory courses to extended musical works. | Implement the principles and concepts studied in class via performance on your area of emphasis.",2023-02-14,2,"reclassification to C05 plus C10 pending per the theory and musicianship guide, effective fall 2027"
MUS 412,Contrapuntal Techniques,Music: Composition,3,C04 3u,Contrapuntal procedures from the High Renaissance and its impact on modern use of modal melodic writing in contemporary non-classical music styles.,,,,,A-F or CR/NC (student choice).,On-ground.,Fall Alternate Years,,,Develop skills in the composition and analysis of 16th & early 17th century modal polyphonic music | Mastery and understanding of the principles of modal counterpoint | Develop historical and technical insight into modal melodic writing | Demonstrate skill in combining musical lines,2023-02-14,3,
MUS 414,Contemporary Orchestration and Arranging,Music: Composition,3,C04 3u,"Course devoted to fundamentals of instrumentation and arranging for contemporary band and orchestral instruments. The study of basic elements (range, transposition, timbre) of each instrument will be followed by examination and analysis of orchestration ‘problems’ and solutions from repertoire.",,,,,A-F or CR/NC (student choice).,On-ground.,Fall Alternate Years,,,gain all necessary skills to arrange or compose for any ensemble | develop intimate knowledge of the characteristics of every orchestral instrument | recognize and recreate standard scoring patterns | develop a concept of arranging as composition | strengthen the inner ear and auditory ideation,2023-02-14,3,
MUS 415,MIDI Orchestration,Music: Composition,3,C02 2u + C10 1u,"This course is devoted to students interested in writing orchestration projects for visual media, or contemporary arrangements to support other musical styles. It will cover basic techniques of creating a full orchestral sound through sequencing and sampling libraries.",MUS 381.,,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"Understand the basic aesthetics of synthestration | familiarize oneself with project studio requirements and considerations, such as computer choices, sequencing software and sample libraries | be able to utilize “electronic” orchestration techniques, and common MIDI mixing and signaling techniques | produce “musical” facsimiles of acoustic instrument performances",2023-02-14,3,
MUS 431,Elementary Music Teaching Methods,Music: Music Education,3,C05 3u,"Designed for prospective school music educators. Development of methods, techniques, and knowledge appropriate for teaching elementary general music classes. Study and exploration of elementary music instructional materials and topics. Field trips may be required.","Junior, senior or post-baccalaureate standing.",,,May be repeated for credit for a maximum of 6 units.,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"To study and implement a variety of diverse approaches to teaching music to elementary level students. | To become familiar with the methodologies of Orff, Kodály, Dalcroze, and Gordon (Music Learning Theory). | To write lesson plans in a variety of formats, including the use of state and national standards for elementary general music. | To plan, participate in, and reflect on several peer teaching episodes. | To observe elementary general music teachers (Field Trips May Be Required). | To become familiar with a wide variety of resources for teaching elementary music",2016-04-27,1,"last revised 2016-04-27, still on the 2016 conversion form"
MUS 432,Instrumental Music Teaching Methods,Music: Music Education,3,C05 3u,"Provides opportunity for students intending to become music teachers to develop rehearsal techniques, organizational procedures related to public school band and orchestra programs; become familiar with public school teaching materials; further develop conducting techniques; and improve secondary instruments skills.",MUS 341.,,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"To understand a variety of theories regarding the teaching of instrumental music, | To familiarize the student with the National and State standards for instrumental music education and to apply them to instruction, | To become familiar with and evaluate resources, | To further develop score study, transposition, and conducting skills, | To develop rehearsal planning and classroom management skills | To perform on a secondary instrument in an ensemble, | To develop a library of resources for future use as an instrumental music educator, | To observe excellent elementary and secondary school instrumental music teachers. Field Trips May Be Required",2016-04-27,1,"last revised 2016-04-27, still on the 2016 conversion form"
MUS 433,Choral Music Teaching Methods,Music: Music Education,3,C05 3u,Development of rehearsal techniques and organizational procedures related to choirs and vocal ensembles in the elementary and secondary schools. Teaching materials and appropriate literature from various stylistic periods. Field trips may be required.,MUS 341.,,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"Develop musical, curricular, and organizational skills necessary to lead a choral program at the elementary and secondary level | Refine choral conducting skills, building on the fundamental topics of conducting including inner hearing, breathing, scholarship and expressive interpretation. | Develop knowledge of instructional materials and score-reading ability. | Demonstrate the ability to conduct and teach choral music during in-class experiences. | Develop familiarity with choral music education materials",2016-04-27,1,"last revised 2016-04-27, still on the 2016 conversion form"
MUS 441,Intermediate Conducting,Music: Music Education,3,C05 2u,"Special techniques of choral conducting including vocal and score reading and analysis, interpretation, and rehearsal through observation and laboratory experience.","MUS 341 and junior, senior or post-baccalaureate standing.",,,May be repeated for credit for a maximum of 6 units.,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,Demonstrate the ability to analyze and read vocal and instrumental scores | Independently conduct student choral and instrumental groups. | Demonstrate mastery of standard conducting patterns and gestures. | Conduct music in an interpretive and expressive manner. | Demonstrate knowledge of notable conductors and conducting scholarship,2016-04-27,1,"last revised 2016-04-27, still on the 2016 conversion form; units publish as 3, record holds 2; units publish as 3, the music education certificate roadmap gives 3, record holds 2"
MUS 445,Piano Pedagogy,Music: Music Education,2,C02 2u,"A comparison and analysis of current pedagogical approaches to the teaching of piano with attention to specific problems of the literature and technique, including appropriate studies in anatomy, physiology, and acoustics; particular emphasis upon the teaching of the younger student.",,,,May be repeated for credit for a maximum of 6 units.,A-F or CR/NC (student choice).,On-ground.,Fall Alternate Years,,,"To establish an understanding of the layering of pedagogical concepts and skills in increasing levels of complexity | To provide a structured and critical study of the most popular of the current beginning methods books and supplementary materials | To study how learning takes place through an introductory survey of learning theories | To make an in-depth study of the history and development of thought on piano technique, and its application to healthy practice techniques | To cultivate awareness of effective teaching fundamentals of making music at the piano, including stylistic and expressive repertoire performance, and providing a solid technical foundation | To prepare well-balanced and well-sequenced lesson plans and longer-term programs of study for students of various advancement levels",2023-09-14,3,
MUS 446,Vocal Pedagogy,Music: Music Education,2,blank,"Introduction to professional voice teaching. Examines methods, materials, resources, and techniques for teaching beginning voice students. Students will learn vocal anatomy, observe vocal instruction, and survey beginning and intermediate vocal repertoire.","MUS 112, MUS 116.",,,May be repeated for credit for a maximum of 4 units.,A-F or CR/NC (student choice).,"On-ground, or Hybrid, or Online-Asynchronous.",,,,"Develop pedagogical skills for teaching the beginning voice student | Evaluate methods and materials available to the voice teacher | Observe and analyze university-level secondary group voice classes | Develop the ability to plan private lessons for peer and instructor feedback | Explore the business aspects of operating an independent vocal studio | Articulate a studio policy and marketing strategy | Evaluate online and print resources relating to professional voice teaching including journals, magazines, books and conferences proceedings",2019-02-17,1,no teaching component or classification on record
MUS 461,Applied Study: Piano,Music: Applied Study (UD),1-2,C36 1-2u,Individual instruction for music majors or minors at the Upper Division performance level. Students demonstrate progress before a faculty jury at the end of each semester. A failed jury results in a failing grade for the course. Audition required.,MUS 261A.,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | Improve knowledge and awareness of musical style and performance practice. | Develop effective strategies for creating new repertoire, solving musical problems, and increasing facility your instrument. | Bring a prescribed group of works to a performance-level standard of completion.",2023-09-15,2,"jury sentence states a failing grade where the rest of the series refers to the handbook; published description differs from the record; range MUS 351-355 spans empty numbers 352, 354; requires MUS 261A, renumbered or discontinued"
MUS 461A,Applied Study: Jazz Piano and Keyboard,Music: Applied Study (UD),1-2,C36 1-2u,Individual instruction for music students at the Upper Division level. Students demonstrate progress before a faculty jury at the end of each semester. Audition required.,MUS 261,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | Improve knowledge and awareness of musical style and performance practice. | Develop effective strategies for creating new repertoire, solving musical problems, and increasing facility on your instrument. | Bring a prescribed group of works to a performance-level standard of completion.",2023-09-15,4,"range MUS 351-355 spans empty numbers 352, 354"
MUS 462,Applied Study: Voice,Music: Applied Study (UD),1-2,C36 1-2u,Individual instruction for music students at the Upper Division level. Students demonstrate progress before a faculty jury at the end of each semester. Audition required.,MUS 262.,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | Improve knowledge and awareness of musical style and performance practice. | Develop effective strategies for creating new repertoire, solving musical problems, and increasing facility in voice. | Bring a prescribed group of works to a performance-level standard of completion",2023-09-15,3,"range MUS 351-355 spans empty numbers 352, 354"
MUS 463,Applied Study: Strings,Music: Applied Study (UD),1-2,C36 1-2u,Individual instruction for music students at the Upper Division level. Students demonstrate progress before a faculty jury at the end of each semester. Audition required.,MUS 263,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | Improve knowledge and awareness of musical style and performance practice. | Develop effective strategies for creating new repertoire, solving musical problems, and increasing facility in your instrument. | Bring a prescribed group of works to a performance-level standard of completion.",2023-09-15,2,"range MUS 351-355 spans empty numbers 352, 354"
MUS 463A,Applied Study: Jazz Strings,Music: Applied Study (UD),1-2,C36 1-2u,Individual instruction for music students at the Upper Division level. Students demonstrate progress before a faculty jury at the end of each semester. Audition required.,MUS 263..,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,,,,"Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | Improve knowledge and awareness of musical style and performance practice. | Develop effective strategies for creating new repertoire, solving musical problems, and increasing facility in performance in your instrument. | Bring a prescribed group of works to a performance-level standard of completion.",2023-09-15,3,"prerequisite ends with a doubled period; range MUS 351-355 spans empty numbers 352, 354"
MUS 464,Applied Study: Woodwinds,Music: Applied Study (UD),1-2,C36 1-2u,Individual instruction for music students at the Upper Division level. Students demonstrate progress before a faculty jury at the end of each semester. Audition required.,MUS 264.,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | Improve knowledge and awareness of musical style and performance practice | Develop effective strategies for creating new repertoire, solving musical problems, and increasing facility on your instrument. | Bring a prescribed group of works to a performance-level standard of completion.",2023-09-15,2,"range MUS 351-355 spans empty numbers 352, 354"
MUS 464A,Applied Study: Jazz Woodwinds,Music: Applied Study (UD),1-2,C36 1-2u,Individual instruction for music students at the Upper Division level. Students demonstrate progress before a faculty jury at the end of each semester. Audition required.,MUS 264.,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | Improve knowledge and awareness of musical style and performance practice. | Develop effective strategies for creating new repertoire, solving musical problems, and increasing facility in your instrument. | Bring a prescribed group of works to a performance-level standard of completion.",2023-09-15,3,"range MUS 351-355 spans empty numbers 352, 354"
MUS 465,Applied Study: Brass,Music: Applied Study (UD),1-2,C36 1-2u,Individual instruction for music students at the Upper Division level. Students demonstrate progress before a faculty jury at the end of each semester. Audition required.,MUS 265.,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | Improve knowledge and awareness of musical style and performance practice. | Develop effective strategies for creating new repertoire, solving musical problems, and increasing facility in your instrument. | Bring a prescribed group of works to a performance-level standard of completion.",2023-09-15,2,"range MUS 351-355 spans empty numbers 352, 354"
MUS 465A,Applied Study: Jazz Brass,Music: Applied Study (UD),1-2,C36 1-2u,Individual instruction for music students at the Upper Division level. Students demonstrate progress before a faculty jury at the end of each semester. Audition required.,MUS 265.,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,,,,"Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. Improve knowledge and awareness of musical style and performance practice. | Develop effective strategies for creating new repertoire, solving musical problems, and increasing facility in your instrument. | Bring a prescribed group of works to a performance-level standard of completion",2023-09-15,3,"range MUS 351-355 spans empty numbers 352, 354"
MUS 466,Applied Study: Percussion,Music: Applied Study (UD),1-2,C36 1-2u,Individual instruction for music students at the Upper Division level. Students demonstrate progress before a faculty jury at the end of each semester. Audition required.,MUS 266.,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | Improve knowledge and awareness of musical style and performance practice. | Develop effective strategies for creating new repertoire, solving musical problems, and increasing facility in your instrument. | Bring a prescribed group of works to a performance-level standard of completion.",2023-09-15,3,"range MUS 351-355 spans empty numbers 352, 354"
